Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Top 5 Accuracy,Balanced Accuracy,TT (Sec),Dataset
Dummy Classifier,0.2055,0.5,0.2055,0.0422,0.07,0,0,0,0.0119,0.196,UMAP01_Horiz_PMA+noPMA_100Features
Linear Discriminant Analysis,0.2029,0,0.2029,0.2364,0.202,0.1606,0.1675,0,0.0619,0.242,UMAP01_Horiz_PMA+noPMA_100Features
Light Gradient Boosting Machine,0.2022,0.6722,0.2022,0.1756,0.1823,0.1503,0.1513,0,0.0572,147.174,UMAP01_Horiz_PMA+noPMA_100Features
SVM - Linear Kernel,0.1825,0,0.1825,0.1803,0.1691,0.1366,0.1548,0,0.0267,0.562,UMAP01_Horiz_PMA+noPMA_100Features
Ada Boost Classifier,0.1576,0,0.1576,0.1069,0.1099,0.0688,0.0826,0,0.0243,11.462,UMAP01_Horiz_PMA+noPMA_100Features
HistGradientBoostingClassifier,0.1545,0,0.1545,0.1813,0.1511,0.1128,0.1219,0,0.0369,62.292,UMAP01_Horiz_PMA+noPMA_100Features
Naive Bayes,0.1457,0.6784,0.1457,0.2016,0.1581,0.1173,0.122,0,0.0436,0.552,UMAP01_Horiz_PMA+noPMA_100Features
CatBoost Classifier,0.2619,0.7134,0.2619,0.1579,0.1712,0.153,0.1696,0,0.0776,135.102,FeatRed08_PMA_482Features
Linear Discriminant Analysis,0.1825,0,0.1825,0.1907,0.166,0.1204,0.1263,0,0.0805,1.02,FeatRed08_PMA_482Features
Extreme Gradient Boosting,0.246,0.6964,0.246,0.1455,0.1654,0.1415,0.154,0,0.075,81.394,FeatRed08_PMA_482Features
K Neighbors Classifier,0.1895,0.6019,0.1895,0.1656,0.1601,0.1189,0.1208,0,0.0557,0.73,FeatRed08_PMA_482Features
SVM - Linear Kernel,0.1624,0,0.1624,0.1903,0.1592,0.1153,0.1559,0,0.0504,0.596,FeatRed08_PMA_482Features
Naive Bayes,0.1212,0.6228,0.1212,0.2318,0.1491,0.0979,0.1079,0,0.0652,1.94,FeatRed08_PMA_482Features
Random Forest Classifier,0.2496,0.6668,0.2496,0.1371,0.1488,0.1175,0.1437,0,0.0635,4.148,FeatRed08_PMA_482Features
Decision Tree Classifier,0.1502,0.5568,0.1502,0.1467,0.1477,0.1001,0.1002,0,0.0418,20.332,FeatRed08_PMA_482Features
Extra Trees Classifier,0.2484,0.6654,0.2484,0.1381,0.1476,0.1133,0.141,0,0.0644,1.508,FeatRed08_PMA_482Features
HistGradientBoostingClassifier,0.25,0,0.25,0.1465,0.1475,0.1116,0.1421,0,0.0643,312.058,FeatRed08_PMA_482Features
Light Gradient Boosting Machine,0.2222,0.6651,0.2222,0.1495,0.1424,0.1038,0.1337,0,0.0533,184.328,FeatRed08_PMA_482Features
Ridge Classifier,0.2253,0,0.2253,0.0895,0.1031,0.0466,0.0908,0,0.0355,0.41,FeatRed08_PMA_482Features
Logistic Regression,0.2168,0,0.2168,0.0816,0.0906,0.0256,0.0673,0,0.0238,1.768,FeatRed08_PMA_482Features
Quadratic Discriminant Analysis,0.2055,0,0.2055,0.0423,0.0702,0.0005,0.0062,0,0.0119,4.414,FeatRed08_PMA_482Features
Dummy Classifier,0.2055,0.5,0.2055,0.0422,0.07,0,0,0,0.0119,0.384,FeatRed08_PMA_482Features
Ada Boost Classifier,0.1569,0,0.1569,0.0526,0.0643,-0.0213,-0.0335,0,0.0194,41.54,FeatRed08_PMA_482Features
CatBoost Classifier,0.2616,0.7185,0.2616,0.1587,0.1695,0.1459,0.166,0,0.0839,136.164,FeatRed08_noPMA_482Features
Linear Discriminant Analysis,0.1825,0,0.1825,0.1898,0.1677,0.1209,0.1269,0,0.0835,0.996,FeatRed08_noPMA_482Features
Extreme Gradient Boosting,0.2449,0.7018,0.2449,0.1462,0.1643,0.1389,0.1516,0,0.0788,74.89,FeatRed08_noPMA_482Features
K Neighbors Classifier,0.1893,0.6,0.1893,0.1707,0.163,0.1209,0.1226,0,0.0587,0.688,FeatRed08_noPMA_482Features
SVM - Linear Kernel,0.147,0,0.147,0.2043,0.153,0.1047,0.1408,0,0.0457,0.574,FeatRed08_noPMA_482Features
Decision Tree Classifier,0.152,0.5582,0.152,0.1513,0.1509,0.1031,0.1032,0,0.0484,20.44,FeatRed08_noPMA_482Features
Naive Bayes,0.1181,0.6176,0.1181,0.2606,0.1498,0.0975,0.1053,0,0.0656,1.66,FeatRed08_noPMA_482Features
Extra Trees Classifier,0.2531,0.6631,0.2531,0.1426,0.1492,0.1131,0.1463,0,0.0717,1.472,FeatRed08_noPMA_482Features
Random Forest Classifier,0.2526,0.67,0.2526,0.1475,0.1485,0.1133,0.1455,0,0.0686,4.016,FeatRed08_noPMA_482Features
Light Gradient Boosting Machine,0.2516,0.6985,0.2516,0.1468,0.1442,0.101,0.1422,0,0.0635,202.836,FeatRed08_noPMA_482Features
Ridge Classifier,0.2304,0,0.2304,0.0984,0.1064,0.0495,0.1044,0,0.0362,0.394,FeatRed08_noPMA_482Features
Logistic Regression,0.2186,0,0.2186,0.0865,0.0911,0.0242,0.0762,0,0.0228,1.838,FeatRed08_noPMA_482Features
HistGradientBoostingClassifier,0.1817,0,0.1817,0.0985,0.0901,0.0319,0.0464,0,0.0224,136.77,FeatRed08_noPMA_482Features
Quadratic Discriminant Analysis,0.2058,0,0.2058,0.0424,0.0703,0.0004,0.0053,0,0.0119,4.294,FeatRed08_noPMA_482Features
Dummy Classifier,0.2058,0.5,0.2058,0.0423,0.0702,0,0,0,0.0119,0.372,FeatRed08_noPMA_482Features
Ada Boost Classifier,0.1852,0,0.1852,0.0453,0.0683,-0.0065,-0.0069,0,0.0165,40.42,FeatRed08_noPMA_482Features
Extreme Gradient Boosting,0.2765,0.755,0.2765,0.2372,0.2479,0.2233,0.2247,0,0.0939,114.126,FeatRed08_PMA+noPMA_964Features
Linear Discriminant Analysis,0.2339,0,0.2339,0.3015,0.247,0.1904,0.1965,0,0.0878,2.368,FeatRed08_PMA+noPMA_964Features
CatBoost Classifier,0.2934,0.773,0.2934,0.2421,0.2468,0.2338,0.2391,0,0.0952,194.268,FeatRed08_PMA+noPMA_964Features
K Neighbors Classifier,0.2433,0.6378,0.2433,0.2521,0.2351,0.194,0.1959,0,0.0714,1.126,FeatRed08_PMA+noPMA_964Features
Random Forest Classifier,0.2833,0.714,0.2833,0.2243,0.2325,0.2195,0.2256,0,0.0841,7.306,FeatRed08_PMA+noPMA_964Features
Extra Trees Classifier,0.2794,0.7179,0.2794,0.2228,0.2298,0.2147,0.2209,0,0.0846,1.912,FeatRed08_PMA+noPMA_964Features
SVM - Linear Kernel,0.2354,0,0.2354,0.2417,0.2222,0.1884,0.2154,0,0.0679,1.012,FeatRed08_PMA+noPMA_964Features
Naive Bayes,0.1941,0.6606,0.1941,0.2657,0.2132,0.1621,0.1706,0,0.0764,3.004,FeatRed08_PMA+noPMA_964Features
Decision Tree Classifier,0.2127,0.5966,0.2127,0.2153,0.2131,0.1681,0.1682,0,0.0529,53.85,FeatRed08_PMA+noPMA_964Features
Light Gradient Boosting Machine,0.2479,0.6956,0.2479,0.1897,0.1995,0.1661,0.1686,0,0.0745,204.004,FeatRed08_PMA+noPMA_964Features
Ridge Classifier,0.2559,0,0.2559,0.1327,0.1514,0.1429,0.1674,0,0.0547,0.706,FeatRed08_PMA+noPMA_964Features
Logistic Regression,0.2345,0,0.2345,0.1066,0.1228,0.0978,0.1244,0,0.0333,2.588,FeatRed08_PMA+noPMA_964Features
HistGradientBoostingClassifier,0.1312,0,0.1312,0.1306,0.088,0.0364,0.0479,0,0.0176,149.476,FeatRed08_PMA+noPMA_964Features
Quadratic Discriminant Analysis,0.2053,0,0.2053,0.0423,0.0702,0.0005,0.0046,0,0.0119,6.794,FeatRed08_PMA+noPMA_964Features
Dummy Classifier,0.2055,0.5,0.2055,0.0422,0.07,0,0,0,0.0119,0.626,FeatRed08_PMA+noPMA_964Features
Ada Boost Classifier,0.1805,0,0.1805,0.0487,0.0684,-0.0098,-0.0173,0,0.0179,79.126,FeatRed08_PMA+noPMA_964Features
