,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Dataset
104,Decision Tree Classifier,0.1502,0.5568,0.1502,0.1467,0.1477,0.1001,0.1002,20.128,FeatRed08_PMA_482Features
105,Extra Trees Classifier,0.2484,0.6654,0.2484,0.1381,0.1476,0.1133,0.141,1.284,FeatRed08_PMA_482Features
106,HistGradientBoostingClassifier,0.25,0.0,0.25,0.1465,0.1475,0.1116,0.1421,278.802,FeatRed08_PMA_482Features
107,Ridge Classifier,0.2253,0.0,0.2253,0.0895,0.1031,0.0466,0.0908,0.322,FeatRed08_PMA_482Features
108,Logistic Regression,0.2168,0.0,0.2168,0.0816,0.0906,0.0256,0.0673,1.68,FeatRed08_PMA_482Features
109,Quadratic Discriminant Analysis,0.2055,0.0,0.2055,0.0423,0.0702,0.0005,0.0062,4.028,FeatRed08_PMA_482Features
110,Dummy Classifier,0.2055,0.5,0.2055,0.0422,0.07,0.0,0.0,0.306,FeatRed08_PMA_482Features
111,Ada Boost Classifier,0.1569,0.0,0.1569,0.0526,0.0643,-0.0213,-0.0335,40.62,FeatRed08_PMA_482Features
112,CatBoost Classifier,0.2616,0.7185,0.2616,0.1587,0.1695,0.1459,0.166,115.706,FeatRed08_noPMA_482Features
113,Linear Discriminant Analysis,0.1825,0.0,0.1825,0.1898,0.1677,0.1209,0.1269,0.87,FeatRed08_noPMA_482Features
114,Extreme Gradient Boosting,0.2449,0.7018,0.2449,0.1462,0.1643,0.1389,0.1516,41.258,FeatRed08_noPMA_482Features
115,K Neighbors Classifier,0.1893,0.6,0.1893,0.1707,0.163,0.1209,0.1226,0.598,FeatRed08_noPMA_482Features
116,SVM - Linear Kernel,0.147,0.0,0.147,0.2043,0.153,0.1047,0.1408,0.478,FeatRed08_noPMA_482Features
117,Decision Tree Classifier,0.152,0.5582,0.152,0.1513,0.1509,0.1031,0.1032,20.52,FeatRed08_noPMA_482Features
118,Naive Bayes,0.1181,0.6176,0.1181,0.2606,0.1498,0.0975,0.1053,1.408,FeatRed08_noPMA_482Features
119,Extra Trees Classifier,0.2531,0.6631,0.2531,0.1426,0.1492,0.1131,0.1463,1.276,FeatRed08_noPMA_482Features
120,Random Forest Classifier,0.2526,0.67,0.2526,0.1475,0.1485,0.1133,0.1455,3.874,FeatRed08_noPMA_482Features
121,Light Gradient Boosting Machine,0.2505,0.6984,0.2505,0.1519,0.1435,0.0988,0.1402,192.222,FeatRed08_noPMA_482Features
122,Ridge Classifier,0.2304,0.0,0.2304,0.0984,0.1064,0.0495,0.1044,0.318,FeatRed08_noPMA_482Features
123,Logistic Regression,0.2186,0.0,0.2186,0.0865,0.0911,0.0242,0.0762,1.69,FeatRed08_noPMA_482Features
124,HistGradientBoostingClassifier,0.1817,0.0,0.1817,0.0985,0.0901,0.0319,0.0464,129.762,FeatRed08_noPMA_482Features
125,Quadratic Discriminant Analysis,0.2058,0.0,0.2058,0.0424,0.0703,0.0004,0.0053,4.02,FeatRed08_noPMA_482Features
126,Dummy Classifier,0.2058,0.5,0.2058,0.0423,0.0702,0.0,0.0,0.3,FeatRed08_noPMA_482Features
